word,model,accuracy,f1_macro,ari,silhouette
ತಿಳಿ,MuRIL,0.9777777777777779,0.9774259177355151,0.6724138790940783,0.5897690057754517
ತಿಳಿ,XLM-R,0.9444444444444444,0.9434920634920635,0.7098602297147923,0.45116546750068665
ತಿಳಿ,XL Lexeme,0.9222222222222222,0.9213492063492064,0.7483167250201993,0.5706633925437927
ತಿಳಿ,IndicBERT,0.8111111111111111,0.8066789076077002,0.27632621682236697,0.251423180103302
ತೀರ್ಥ,MuRIL,0.9142857142857143,0.9135439560439561,0.30976641332506133,0.3358028531074524
ತೀರ್ಥ,XLM-R,0.6527472527472528,0.6467155067155067,0.012385464933979027,0.11060929298400879
ತೀರ್ಥ,XL Lexeme,0.8714285714285716,0.8659829059829061,0.19000074141808565,0.20165276527404785
ತೀರ್ಥ,IndicBERT,0.5351648351648353,0.5183365164247518,-0.014630650223661123,-0.003537313314154744
ತುರಿ,MuRIL,0.8242424242424242,0.45181818181818184,-0.023472186156097006,-0.030646396800875664
ತುರಿ,XLM-R,0.8242424242424242,0.45181818181818184,-0.0027939057929890427,-0.06030631437897682
ತುರಿ,XL Lexeme,0.8590909090909091,0.6431062504746716,0.12902790885802884,0.1902402639389038
ತುರಿ,IndicBERT,0.8242424242424242,0.45181818181818184,-0.01087221704398306,0.0062913899309933186
ದಂತ,MuRIL,0.9035087719298245,0.902875325568824,0.12255895212942808,0.2715211808681488
ದಂತ,XLM-R,0.6146198830409356,0.591015479876161,0.10735053996188504,0.07347699999809265
ದಂತ,XL Lexeme,0.883625730994152,0.8829441250184284,0.07914547502198573,0.22485622763633728
ದಂತ,IndicBERT,0.7660818713450291,0.7625371360665478,0.011718244612232746,0.1334885060787201
ದಳ,MuRIL,0.96,0.9466666666666667,0.5660877592202996,0.3748205900192261
ದಳ,XLM-R,0.9,0.8778199578199578,0.3277283254124181,0.2589557468891144
ದಳ,XL Lexeme,0.8800000000000001,0.858754578754579,0.6291659547101474,0.32792481780052185
ದಳ,IndicBERT,0.6799999999999999,0.40441176470588236,0.013835816409772016,0.0038647265173494816
ದಿವಾಳಿ,MuRIL,0.9400000000000001,0.6842105263157895,-0.003654765251616531,0.20115968585014343
ದಿವಾಳಿ,XLM-R,0.9018181818181817,0.5402329352793749,0.03948967193195626,0.13713298738002777
ದಿವಾಳಿ,XL Lexeme,0.9218181818181819,0.5794486215538848,0.09378765893608126,0.2069960981607437
ದಿವಾಳಿ,IndicBERT,0.9018181818181817,0.4741854636591478,0.1143099722136462,0.0650048702955246
ಧರಣಿ,MuRIL,0.96,0.7894736842105263,-0.009295620619376646,-0.04945826902985573
ಧರಣಿ,XLM-R,0.96,0.7894736842105263,0.085463563525372,0.2286568433046341
ಧರಣಿ,XL Lexeme,0.96,0.7894736842105263,-0.02023984212923139,0.11056185513734818
ಧರಣಿ,IndicBERT,0.96,0.7894736842105263,-0.003130335799658509,0.07009672373533249
ನರ,MuRIL,0.9180952380952381,0.9174935358758887,0.6526949834472264,0.512116551399231
ನರ,XLM-R,0.9066666666666666,0.9057013574660633,0.20032326120997065,0.2703001797199249
ನರ,XL Lexeme,0.8085714285714287,0.801961678672205,0.344623999513071,0.3031289279460907
ನರ,IndicBERT,0.7314285714285715,0.7275696688931983,0.09291673303354239,0.13431911170482635
ನಾಮ,MuRIL,0.5900000000000001,0.5655417681733471,0.2509822847531172,0.09772495925426483
ನಾಮ,XLM-R,0.48,0.4066993464052288,0.12104531901448048,-0.0203558262437582
ನಾಮ,XL Lexeme,0.59,0.5400349215055098,0.20417606599711613,0.06730479747056961
ನಾಮ,IndicBERT,0.41,0.3482333222333222,0.02362634165271679,-0.04829682409763336
ನಿರ್ಮಾಪಕ,MuRIL,0.843939393939394,0.7480701754385966,0.390638048163947,0.39226341247558594
ನಿರ್ಮಾಪಕ,XLM-R,0.8621212121212121,0.7703070175438596,0.3617755851441604,0.18153269588947296
ನಿರ್ಮಾಪಕ,XL Lexeme,0.7924242424242424,0.5075438596491229,-0.01085019394066464,0.049012936651706696
ನಿರ್ಮಾಪಕ,IndicBERT,0.7939393939393941,0.44233766233766236,-0.008449170498750337,0.0032837186008691788
ನೆರೆ,MuRIL,0.7314285714285714,0.7269281028568955,0.022564801015893067,0.13342024385929108
ನೆರೆ,XLM-R,0.39142857142857146,0.3271113863925817,-0.0019268387972336649,-0.0008310498669743538
ನೆರೆ,XL Lexeme,0.5676190476190476,0.5592695539754363,-0.0019268387972336649,0.02161097340285778
ನೆರೆ,IndicBERT,0.5657142857142856,0.5465711412770237,-0.013195185220603407,-0.0008076706435531378
